iter	RMSE
0	11257.40157
1	10439.5004
2	9697.504068
3	9000.750787
4	8411.232226
5	7880.290327
6	7398.719212
7	6974.994975
8	6569.329303
9	6257.955027
10	5984.163936
11	5732.749122
12	5528.387807
13	5323.677998
14	5146.035195
15	4977.270187
16	4848.772086
17	4729.264923
18	4617.777882
19	4526.600196
20	4432.369735
21	4349.446064
22	4288.662884
23	4208.758918
24	4136.722123
25	4083.253006
26	4021.861031
27	3962.848018
28	3917.460188
29	3874.201954
30	3852.27962
31	3812.681438
32	3772.013836
33	3756.455973
34	3713.326923
35	3703.160448
36	3672.423081
37	3660.286478
38	3627.97246
39	3612.622514
40	3585.54611
41	3579.851628
42	3565.799486
43	3538.693664
44	3535.667717
45	3533.564375
46	3503.705978
47	3473.666078
48	3456.955465
49	3437.387003
