iter	Passed	Remaining
0	60	2987
1	64	1539
2	65	1025
3	66	769
4	75	676
5	80	586
6	84	519
7	85	446
8	85	389
9	87	348
10	87	310
11	91	290
12	92	262
13	93	240
14	95	222
15	99	211
16	102	199
17	102	183
18	106	174
19	110	166
20	114	158
21	117	149
22	119	139
23	123	133
24	126	126
25	129	119
26	131	112
27	134	105
28	136	99
29	140	93
30	140	86
31	144	81
32	146	75
33	147	69
34	149	63
35	149	58
36	152	53
37	153	48
38	155	43
39	158	39
40	160	35
41	161	30
42	163	26
43	165	22
44	165	18
45	165	14
46	168	10
47	172	7
48	175	3
49	179	0
